zpid,open_house,open_house_info
19299951,Thu. 10am-5pm,"{'open_house_showing': [{'open_house_end': 1688083200000, 'open_house_start': 1688058000000}, {'open_house_end': 1688335200000, 'open_house_start': 1688328000000}]}"
19291274,Thu. 1-6pm,"{'open_house_showing': [{'open_house_end': 1688086800000, 'open_house_start': 1688068800000}]}"
64791893,Sun. 1-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688328000000}]}"
2062409646,Sat. 8-8:30am,"{'open_house_showing': [{'open_house_end': 1688225400000, 'open_house_start': 1688223600000}, {'open_house_end': 1688657400000, 'open_house_start': 1688655600000}]}"
19292942,Sun. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
67147193,Sun. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
119404889,Sun. 1-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688328000000}]}"
19292437,Sat. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688245200000}, {'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
2062694855,Sat. 11am-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688234400000}, {'open_house_end': 1688338800000, 'open_house_start': 1688320800000}]}"
58767083,Sun. 11am-2pm,"{'open_house_showing': [{'open_house_end': 1688331600000, 'open_house_start': 1688320800000}]}"
19293100,Sun. 1-3pm,"{'open_house_showing': [{'open_house_end': 1688335200000, 'open_house_start': 1688328000000}]}"
2057954738,Sat. 11am-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688234400000}, {'open_house_end': 1688338800000, 'open_house_start': 1688320800000}]}"
2058603262,Sat. 11am-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688234400000}, {'open_house_end': 1688338800000, 'open_house_start': 1688320800000}]}"
79547043,Sun. 1-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688328000000}]}"
2058254554,Sat. 12-2pm,"{'open_house_showing': [{'open_house_end': 1688245200000, 'open_house_start': 1688238000000}]}"
19278516,Sun. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
2064155435,Sat. 8-8:30am,"{'open_house_showing': [{'open_house_end': 1688225400000, 'open_house_start': 1688223600000}, {'open_house_end': 1688657400000, 'open_house_start': 1688655600000}]}"
19288611,Sun. 1-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688328000000}]}"
19278414,Sun. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
19283236,Sun. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
19283744,Sat. 2-4:30pm,"{'open_house_showing': [{'open_house_end': 1688254200000, 'open_house_start': 1688245200000}, {'open_house_end': 1688340600000, 'open_house_start': 1688331600000}]}"
19283213,Sun. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
19263532,Sun. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
80733900,Sat. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688245200000}, {'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
19262187,Sun. 1-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688328000000}]}"
88795962,Fri. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688166000000, 'open_house_start': 1688158800000}, {'open_house_end': 1688338800000, 'open_house_start': 1688328000000}]}"
19255156,Sun. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
19265242,Sun. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
19257177,Sun. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
19251711,Sat. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688245200000}, {'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
19250752,Sat. 1-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688241600000}, {'open_house_end': 1688338800000, 'open_house_start': 1688328000000}]}"
2057412074,Sun. 1-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688328000000}]}"
248109205,Sun. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
19275598,Sat. 1-3pm,"{'open_house_showing': [{'open_house_end': 1688248800000, 'open_house_start': 1688241600000}]}"
19297012,Sun. 1-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688328000000}]}"
